Time,Acc1_X,Acc1_Y,Acc1_Z,Acc2_X,Acc2_Y,Acc2_Z,Gyro1_X,Gyro1_Y,Gyro1_Z,Gyro2_X,Gyro2_Y,Gyro2_Z,label
1222676,8.2,-1.01,5.77,-6.29,-1.07,5.98,-0.03,-0.04,0.01,-0.04,-0.0,-0.02,1
72480,9.92,-2.4,0.65,1.51,0.78,8.6,-0.06,-0.05,0.01,-0.04,0.01,0.0,0
241378,9.51,-0.34,3.52,-4.46,-0.98,7.16,-0.04,-0.04,0.01,-0.03,0.02,0.0,1
317300,8.3,-0.94,5.64,-5.14,-0.07,6.89,-0.03,-0.04,0.02,-0.05,0.01,-0.01,1
1545854,7.99,-1.04,6.15,-5.19,-2.89,6.41,-0.05,-0.01,0.0,-0.06,0.01,-0.01,1
2069998,8.56,-0.23,5.32,-4.24,-1.07,7.55,-0.02,-0.02,0.01,-0.06,0.02,0.01,1
308366,8.93,-1.71,4.5,-3.68,-1.45,7.69,-0.05,-0.04,0.01,-0.04,0.01,-0.02,1
1902322,9.16,-0.82,4.23,-2.04,-0.53,8.32,-0.05,-0.05,0.01,-0.04,0.03,-0.01,0
593380,8.35,-0.74,5.42,-5.06,-0.68,6.97,-0.04,-0.05,-0.01,-0.04,0.0,-0.03,1
577132,6.24,0.43,7.68,-6.91,-2.9,4.8,-0.04,-0.03,0.0,-0.01,0.0,-0.04,0
824796,9.54,-1.71,3.09,-3.37,0.64,7.79,-0.05,-0.05,0.01,-0.02,0.01,-0.01,0
569418,6.2,0.58,7.78,-6.79,-2.9,4.83,-0.04,-0.03,0.01,-0.03,-0.01,-0.02,0
77760,5.51,2.41,7.87,-6.92,-0.15,5.42,-0.03,-0.03,0.01,-0.05,0.01,-0.01,0
2084208,8.41,-0.31,5.75,-4.14,-1.28,7.38,-0.05,-0.03,0.02,-0.03,0.02,-0.02,1
877564,8.36,-0.72,5.53,-4.97,-2.34,6.79,-0.05,-0.02,0.0,-0.05,0.06,-0.01,1
7928,5.02,-0.23,8.57,-6.66,-1.07,5.72,-0.05,-0.05,0.01,-0.05,0.01,-0.02,0
2179210,4.7,-0.24,8.71,-7.97,-2.78,3.17,-0.05,-0.07,0.01,-0.04,0.02,0.0,0
756186,5.2,-0.08,8.51,-7.8,-2.48,3.73,-0.02,-0.02,-0.02,-0.04,0.02,0.02,0
131752,7.02,5.58,4.74,-8.15,2.94,3.24,0.14,0.01,0.52,-0.83,0.10,-0.17,0
1566560,7.77,0.07,6.27,-6.35,-1.82,5.87,-0.04,-0.04,0.02,-0.06,0.04,0.02,1
97654,10.09,-0.59,1.45,-0.76,0.23,8.64,-0.05,-0.05,0.00,-0.04,0.02,-0.01,0
878792,9.48,0.6,3.97,0.02,4.48,7.41,0.01,0.18,-0.27,0.1,0.25,-0.17,0
2406570,7.91,-0.69,5.98,-5.84,-2.7,5.8,-0.04,-0.04,0.0,-0.03,0.02,-0.01,1
2172716,8.1,0.05,5.92,-4.58,-1.14,7.23,-0.06,-0.05,0.01,-0.04,0.01,-0.01,1
342878,8.98,-0.39,4.65,-7.77,-2.62,3.65,-0.04,-0.05,0.01,-0.03,-0.02,-0.02,1
101714,4.26,-0.39,8.91,-7.48,-2.64,4.19,-0.03,-0.05,0.0,-0.03,0.02,0.0,0
20514,4.51,-0.26,8.81,-6.73,-1.17,5.44,-0.06,-0.05,0.01,-0.04,0.05,0.0,0
1372086,7.0,4.82,5.11,-7.3,3.18,3.96,-0.04,-0.04,0.01,-0.04,0.0,-0.02,0
1250286,6.76,2.31,7.05,-8.34,0.69,3.33,-0.04,-0.06,0.02,-0.03,-0.03,-0.02,0
1339998,7.55,-1.09,6.55,-4.84,-1.3,7.1,-0.04,-0.03,0.01,-0.05,0.02,-0.01,1
299436,7.84,-1.13,6.21,-5.48,-0.99,6.61,-0.11,-0.16,0.0,-0.03,-0.01,-0.02,1
1170290,7.31,1.57,6.56,-6.24,0.38,6.04,-0.03,-0.05,0.0,-0.03,0.02,-0.01,0
288880,7.47,-1.53,6.51,-4.09,-0.33,7.58,-0.05,-0.05,-0.01,-0.02,0.02,-0.01,1
282384,7.64,-1.02,6.46,-3.0,-0.23,8.05,-0.04,-0.04,0.0,-0.02,0.0,-0.03,1
818710,9.39,-1.38,3.67,-2.53,-0.61,8.28,-0.04,-0.03,0.0,-0.03,0.01,-0.01,0
774456,4.62,0.16,8.77,-7.52,-2.41,4.09,-0.05,-0.05,0.0,-0.05,0.02,0.0,0
884482,8.88,-0.44,4.76,-2.77,0.93,8.09,-0.03,-0.03,0.0,-0.06,0.04,-0.02,1
74918,9.67,-2.93,1.82,-0.53,-0.86,8.62,-0.04,-0.03,0.0,-0.04,0.02,-0.01,0
622206,6.64,2.27,6.98,-6.16,1.18,6.02,-0.08,-0.03,0.01,-0.04,0.02,-0.01,0
614898,8.24,-0.73,5.85,-5.05,-0.71,6.96,-0.05,-0.06,0.01,-0.04,0.01,-0.02,1
1460188,7.76,0.22,6.26,-6.56,-1.87,5.64,-0.04,-0.04,-0.01,-0.04,0.04,0.0,1
1626238,10.21,-0.91,0.27,-2.61,0.71,8.15,-0.04,-0.03,0.0,-0.03,-0.01,-0.02,0
559276,5.09,1.34,8.31,-6.7,-0.33,5.67,-0.03,-0.06,0.01,-0.04,0.0,0.03,0
842258,6.55,0.46,7.56,-7.11,-2.58,5.59,0.3,-0.28,0.25,-0.07,-0.14,0.59,0
1184920,9.37,-0.78,3.74,-3.48,-0.59,7.81,-0.04,-0.03,0.0,-0.04,0.04,-0.03,0
203214,8.89,-0.35,4.84,-2.34,1.21,8.24,-0.04,-0.04,0.02,-0.03,0.02,-0.01,0
880416,8.71,1.37,5.4,-2.03,5.25,7.12,-0.24,-0.19,0.23,-0.16,-0.23,0.17,0
1424866,8.23,0.19,5.78,-6.24,-1.41,5.9,-0.07,0.0,-0.04,-0.02,0.04,-0.06,1
1555192,7.7,0.09,6.29,-6.36,-2.02,5.76,-0.03,-0.04,0.0,-0.03,0.01,-0.01,1
776486,4.6,0.16,8.81,-7.51,-2.42,4.11,-0.04,-0.05,0.0,-0.05,0.03,0.0,0
859310,9.15,-0.65,4.52,-2.56,0.6,8.27,-0.07,-0.04,0.03,-0.07,0.03,-0.02,1
555622,8.12,-0.52,5.9,-5.0,-0.65,7.01,-0.02,-0.04,0.01,-0.04,0.01,-0.01,1
866212,8.98,-0.53,4.7,-2.77,0.53,8.15,-0.04,-0.03,0.01,-0.08,-0.01,-0.02,1
